record_id,student_id,year_level,counsellor_id,subject_1_name,subject_1_marks,subject_2_name,subject_2_marks,subject_3_name,subject_3_marks,total,grade,sgpa
REC000052,STU00013,4,4,Data Warehousing and Data Mining,71,Data Science,70,Computer Architecture,61,202,B+,7.07
REC000053,STU00014,1,1,Maths,74,Physics,87,Chemistry,93,254,A+,9.03
REC000054,STU00014,2,2,Data Structures and Algorithms,46,Probability and Statistics,85,Java,90,221,A,8.01
REC000055,STU00014,3,3,Design and Analysis of Algorithm,56,Machine Learning,81,UI/UX,76,213,A,7.83
REC000056,STU00014,4,4,Data Warehousing and Data Mining,97,Data Science,92,Computer Architecture,74,263,A+,8.86
REC000057,STU00015,1,1,Maths,85,Physics,79,Chemistry,96,260,A+,9.07
REC000058,STU00015,2,2,Data Structures and Algorithms,94,Probability and Statistics,72,Java,81,247,A+,9.14
REC000059,STU00015,3,3,Design and Analysis of Algorithm,48,Machine Learning,78,UI/UX,57,183,B+,6.92
REC000060,STU00015,4,4,Data Warehousing and Data Mining,54,Data Science,60,Computer Architecture,54,168,B,6.15
REC000061,STU00016,1,1,Maths,93,Physics,64,Chemistry,99,256,A+,8.96
REC000062,STU00016,2,2,Data Structures and Algorithms,65,Probability and Statistics,100,Java,98,263,A+,9.25
REC000063,STU00016,3,3,Design and Analysis of Algorithm,85,Machine Learning,58,UI/UX,99,242,A+,8.95
REC000064,STU00016,4,4,Data Warehousing and Data Mining,97,Data Science,63,Computer Architecture,86,246,A+,8.8
REC000065,STU00017,1,1,Maths,88,Physics,83,Chemistry,60,231,A,7.94
REC000066,STU00017,2,2,Data Structures and Algorithms,52,Probability and Statistics,54,Java,57,163,B,5.72
REC000067,STU00017,3,3,Design and Analysis of Algorithm,96,Machine Learning,97,UI/UX,64,257,A+,8.98
REC000068,STU00017,4,4,Data Warehousing and Data Mining,80,Data Science,72,Computer Architecture,72,224,A,8.09
REC000069,STU00018,1,1,Maths,47,Physics,57,Chemistry,55,159,B,5.86
REC000070,STU00018,2,2,Data Structures and Algorithms,46,Probability and Statistics,61,Java,95,202,B+,7.18
REC000071,STU00018,3,3,Design and Analysis of Algorithm,87,Machine Learning,80,UI/UX,56,223,A,8.09
REC000072,STU00018,4,4,Data Warehousing and Data Mining,47,Data Science,91,Computer Architecture,76,214,A,8.17
REC000073,STU00019,1,1,Maths,48,Physics,100,Chemistry,50,198,B+,6.89
REC000074,STU00019,2,2,Data Structures and Algorithms,64,Probability and Statistics,100,Java,49,213,A,8.24
REC000075,STU00019,3,3,Design and Analysis of Algorithm,71,Machine Learning,68,UI/UX,87,226,A,8.09
REC000076,STU00019,4,4,Data Warehousing and Data Mining,50,Data Science,70,Computer Architecture,98,218,A,8.13
REC000077,STU00020,1,1,Maths,53,Physics,60,Chemistry,52,165,B,6.04
REC000078,STU00020,2,2,Data Structures and Algorithms,77,Probability and Statistics,52,Java,78,207,B+,7.1
REC000079,STU00020,3,3,Design and Analysis of Algorithm,82,Machine Learning,94,UI/UX,78,254,A+,8.85
REC000080,STU00020,4,4,Data Warehousing and Data Mining,50,Data Science,60,Computer Architecture,83,193,B+,6.77
REC000081,STU00021,1,1,Maths,96,Physics,65,Chemistry,66,227,A,8.2
REC000082,STU00021,2,2,Data Structures and Algorithms,92,Probability and Statistics,69,Java,96,257,A+,9.15
REC000083,STU00021,3,3,Design and Analysis of Algorithm,60,Machine Learning,72,UI/UX,58,190,B+,6.79
REC000084,STU00021,4,4,Data Warehousing and Data Mining,56,Data Science,58,Computer Architecture,62,176,B,5.96
REC000085,STU00022,1,1,Maths,61,Physics,100,Chemistry,82,243,A+,8.73
REC000086,STU00022,2,2,Data Structures and Algorithms,79,Probability and Statistics,68,Java,89,236,A,8.27
REC000087,STU00022,3,3,Design and Analysis of Algorithm,65,Machine Learning,79,UI/UX,72,216,A,7.98
REC000088,STU00022,4,4,Data Warehousing and Data Mining,60,Data Science,62,Computer Architecture,95,217,A,8.26
REC000089,STU00023,1,1,Maths,68,Physics,75,Chemistry,90,233,A,7.92
REC000090,STU00023,2,2,Data Structures and Algorithms,64,Probability and Statistics,46,Java,86,196,B+,7.28
REC000091,STU00023,3,3,Design and Analysis of Algorithm,83,Machine Learning,47,UI/UX,98,228,A,8.14
REC000092,STU00023,4,4,Data Warehousing and Data Mining,96,Data Science,48,Computer Architecture,89,233,A,8.25
REC000093,STU00024,1,1,Maths,87,Physics,60,Chemistry,61,208,C,5.03
REC000094,STU00024,2,2,Data Structures and Algorithms,64,Probability and Statistics,85,Java,89,238,C,4.92
REC000095,STU00024,3,3,Design and Analysis of Algorithm,96,Machine Learning,88,UI/UX,52,236,A,8.02
REC000096,STU00024,4,4,Data Warehousing and Data Mining,60,Data Science,99,Computer Architecture,73,232,A,7.93
REC000097,STU00025,1,1,Maths,70,Physics,61,Chemistry,64,195,B+,6.75
REC000098,STU00025,2,2,Data Structures and Algorithms,97,Probability and Statistics,93,Java,60,250,A+,8.88
REC000099,STU00025,3,3,Design and Analysis of Algorithm,100,Machine Learning,55,UI/UX,73,228,A,8.08
REC000100,STU00025,4,4,Data Warehousing and Data Mining,96,Data Science,94,Computer Architecture,86,276,O,9.94
REC000101,STU00026,1,1,Maths,47,Physics,62,Chemistry,100,209,C,4.75
REC000102,STU00026,2,2,Data Structures and Algorithms,94,Probability and Statistics,76,Java,75,245,A+,9.14
REC000103,STU00026,3,3,Design and Analysis of Algorithm,98,Machine Learning,66,UI/UX,90,254,A+,8.95
REC000104,STU00026,4,4,Data Warehousing and Data Mining,97,Data Science,51,Computer Architecture,97,245,A+,8.8
REC000105,STU00027,1,1,Maths,61,Physics,77,Chemistry,49,187,B+,6.91
REC000106,STU00027,2,2,Data Structures and Algorithms,83,Probability and Statistics,91,Java,97,271,O,10
REC000107,STU00027,3,3,Design and Analysis of Algorithm,65,Machine Learning,74,UI/UX,89,228,A,7.72
REC000108,STU00027,4,4,Data Warehousing and Data Mining,48,Data Science,86,Computer Architecture,86,220,A,7.81
REC000109,STU00028,1,1,Maths,73,Physics,95,Chemistry,86,254,A+,8.78
REC000110,STU00028,2,2,Data Structures and Algorithms,70,Probability and Statistics,57,Java,85,212,A,7.88
REC000111,STU00028,3,3,Design and Analysis of Algorithm,81,Machine Learning,50,UI/UX,52,183,B+,6.79
REC000112,STU00028,4,4,Data Warehousing and Data Mining,78,Data Science,90,Computer Architecture,94,262,A+,9.2
REC000113,STU00029,1,1,Maths,93,Physics,53,Chemistry,99,245,A+,9.06
REC000114,STU00029,2,2,Data Structures and Algorithms,71,Probability and Statistics,95,Java,65,231,A,7.97
REC000115,STU00029,3,3,Design and Analysis of Algorithm,100,Machine Learning,92,UI/UX,53,245,A+,8.86
REC000116,STU00029,4,4,Data Warehousing and Data Mining,88,Data Science,82,Computer Architecture,97,267,A+,8.9
REC000117,STU00030,1,1,Maths,63,Physics,57,Chemistry,50,170,B,5.95
REC000118,STU00030,2,2,Data Structures and Algorithms,56,Probability and Statistics,70,Java,69,195,B+,7.27
REC000119,STU00030,3,3,Design and Analysis of Algorithm,81,Machine Learning,59,UI/UX,46,186,B+,7.27
REC000120,STU00030,4,4,Data Warehousing and Data Mining,80,Data Science,86,Computer Architecture,84,250,A+,9.08
REC000121,STU00031,1,1,Maths,50,Physics,74,Chemistry,57,181,B+,6.86
REC000122,STU00031,2,2,Data Structures and Algorithms,99,Probability and Statistics,55,Java,48,202,B+,6.94
REC000123,STU00031,3,3,Design and Analysis of Algorithm,72,Machine Learning,83,UI/UX,61,216,A,7.79
REC000124,STU00031,4,4,Data Warehousing and Data Mining,68,Data Science,55,Computer Architecture,81,204,B+,6.77
REC000125,STU00032,1,1,Maths,90,Physics,78,Chemistry,72,240,A+,9.16
REC000126,STU00032,2,2,Data Structures and Algorithms,74,Probability and Statistics,97,Java,88,259,A+,9
REC000127,STU00032,3,3,Design and Analysis of Algorithm,59,Machine Learning,90,UI/UX,58,207,B+,6.81
REC000128,STU00032,4,4,Data Warehousing and Data Mining,100,Data Science,97,Computer Architecture,95,292,O,9.86
REC000129,STU00033,1,1,Maths,92,Physics,76,Chemistry,69,237,A,7.78
REC000130,STU00033,2,2,Data Structures and Algorithms,99,Probability and Statistics,58,Java,83,240,A+,8.83
REC000131,STU00033,3,3,Design and Analysis of Algorithm,97,Machine Learning,63,UI/UX,91,251,A+,9.11
REC000132,STU00033,4,4,Data Warehousing and Data Mining,71,Data Science,56,Computer Architecture,71,198,B+,7.18
REC000133,STU00034,1,1,Maths,46,Physics,63,Chemistry,61,170,B,5.84
REC000134,STU00034,2,2,Data Structures and Algorithms,73,Probability and Statistics,60,Java,68,201,B+,7.05
REC000135,STU00034,3,3,Design and Analysis of Algorithm,86,Machine Learning,74,UI/UX,50,210,A,7.71
REC000136,STU00034,4,4,Data Warehousing and Data Mining,53,Data Science,100,Computer Architecture,65,218,A,8.28
REC000137,STU00035,1,1,Maths,70,Physics,88,Chemistry,58,216,A,8.13
REC000138,STU00035,2,2,Data Structures and Algorithms,90,Probability and Statistics,72,Java,92,254,A+,9.06
REC000139,STU00035,3,3,Design and Analysis of Algorithm,49,Machine Learning,51,UI/UX,80,180,B+,6.74
REC000140,STU00035,4,4,Data Warehousing and Data Mining,66,Data Science,60,Computer Architecture,75,201,B+,7.24
REC000141,STU00036,1,1,Maths,83,Physics,87,Chemistry,96,266,A+,9.06
REC000142,STU00036,2,2,Data Structures and Algorithms,92,Probability and Statistics,96,Java,47,235,A,7.7
REC000143,STU00036,3,3,Design and Analysis of Algorithm,77,Machine Learning,84,UI/UX,69,230,A,7.88
REC000144,STU00036,4,4,Data Warehousing and Data Mining,70,Data Science,87,Computer Architecture,68,225,A,7.78
REC000145,STU00037,1,1,Maths,80,Physics,47,Chemistry,82,209,C,4.81
REC000146,STU00037,2,2,Data Structures and Algorithms,55,Probability and Statistics,77,Java,76,208,C,5.26
REC000147,STU00037,3,3,Design and Analysis of Algorithm,74,Machine Learning,53,UI/UX,50,177,B,5.89
REC000148,STU00037,4,4,Data Warehousing and Data Mining,78,Data Science,72,Computer Architecture,54,204,B+,6.86
REC000149,STU00038,1,1,Maths,65,Physics,47,Chemistry,53,165,B,6
REC000150,STU00038,2,2,Data Structures and Algorithms,98,Probability and Statistics,62,Java,92,252,A+,8.92
REC000151,STU00038,3,3,Design and Analysis of Algorithm,72,Machine Learning,63,UI/UX,61,196,B+,7.07
REC000152,STU00038,4,4,Data Warehousing and Data Mining,93,Data Science,61,Computer Architecture,78,232,A,7.89
REC000153,STU00039,1,1,Maths,55,Physics,65,Chemistry,92,212,A,8.3
REC000154,STU00039,2,2,Data Structures and Algorithms,93,Probability and Statistics,54,Java,80,227,A,8.21
REC000155,STU00039,3,3,Design and Analysis of Algorithm,87,Machine Learning,85,UI/UX,96,268,C,4.96
REC000156,STU00039,4,4,Data Warehousing and Data Mining,57,Data Science,54,Computer Architecture,48,159,B,5.84
REC000157,STU00040,1,1,Maths,47,Physics,75,Chemistry,61,183,B+,6.8
REC000158,STU00040,2,2,Data Structures and Algorithms,74,Probability and Statistics,72,Java,52,198,B+,7.3
REC000159,STU00040,3,3,Design and Analysis of Algorithm,76,Machine Learning,47,UI/UX,73,196,B+,6.91
REC000160,STU00040,4,4,Data Warehousing and Data Mining,90,Data Science,80,Computer Architecture,76,246,A+,8.97
REC000161,STU00041,1,1,Maths,52,Physics,99,Chemistry,91,242,A+,9.22
REC000162,STU00041,2,2,Data Structures and Algorithms,52,Probability and Statistics,67,Java,50,169,B,5.82
REC000163,STU00041,3,3,Design and Analysis of Algorithm,63,Machine Learning,56,UI/UX,98,217,A,7.8
REC000164,STU00041,4,4,Data Warehousing and Data Mining,77,Data Science,97,Computer Architecture,62,236,A,8.04
REC000165,STU00042,1,1,Maths,87,Physics,82,Chemistry,58,227,A,8.05
REC000166,STU00042,2,2,Data Structures and Algorithms,45,Probability and Statistics,78,Java,94,217,A,8.04
REC000167,STU00042,3,3,Design and Analysis of Algorithm,71,Machine Learning,49,UI/UX,60,180,B+,7.16
REC000168,STU00042,4,4,Data Warehousing and Data Mining,88,Data Science,51,Computer Architecture,66,205,B+,6.72
REC000169,STU00043,1,1,Maths,88,Physics,88,Chemistry,52,228,A,7.94
REC000170,STU00043,2,2,Data Structures and Algorithms,82,Probability and Statistics,51,Java,98,231,A,7.89
REC000171,STU00043,3,3,Design and Analysis of Algorithm,46,Machine Learning,50,UI/UX,74,170,B,6.2
REC000172,STU00043,4,4,Data Warehousing and Data Mining,87,Data Science,75,Computer Architecture,74,236,A,8.08
REC000173,STU00044,1,1,Maths,62,Physics,83,Chemistry,87,232,A,7.7
REC000174,STU00044,2,2,Data Structures and Algorithms,47,Probability and Statistics,86,Java,84,217,A,8.27
REC000175,STU00044,3,3,Design and Analysis of Algorithm,65,Machine Learning,91,UI/UX,91,247,A+,9.24
REC000176,STU00044,4,4,Data Warehousing and Data Mining,96,Data Science,81,Computer Architecture,53,230,A,7.83
REC000177,STU00045,1,1,Maths,48,Physics,96,Chemistry,86,230,A,7.87
REC000178,STU00045,2,2,Data Structures and Algorithms,96,Probability and Statistics,48,Java,92,236,A,7.74
REC000179,STU00045,3,3,Design and Analysis of Algorithm,83,Machine Learning,69,UI/UX,50,202,B+,6.94
REC000180,STU00045,4,4,Data Warehousing and Data Mining,56,Data Science,60,Computer Architecture,94,210,A,8.22
REC000181,STU00046,1,1,Maths,50,Physics,46,Chemistry,99,195,B+,6.82
REC000182,STU00046,2,2,Data Structures and Algorithms,69,Probability and Statistics,94,Java,70,233,A,7.87
REC000183,STU00046,3,3,Design and Analysis of Algorithm,93,Machine Learning,86,UI/UX,54,233,A,7.77
REC000184,STU00046,4,4,Data Warehousing and Data Mining,76,Data Science,96,Computer Architecture,72,244,A+,9.14
REC000185,STU00047,1,1,Maths,64,Physics,88,Chemistry,83,235,A,7.78
REC000186,STU00047,2,2,Data Structures and Algorithms,87,Probability and Statistics,51,Java,98,236,A,7.92
REC000187,STU00047,3,3,Design and Analysis of Algorithm,57,Machine Learning,76,UI/UX,73,206,B+,7.23
REC000188,STU00047,4,4,Data Warehousing and Data Mining,75,Data Science,62,Computer Architecture,81,218,A,8.06
REC000189,STU00048,1,1,Maths,50,Physics,93,Chemistry,72,215,A,8.19
REC000190,STU00048,2,2,Data Structures and Algorithms,84,Probability and Statistics,56,Java,72,212,A,8.08
REC000191,STU00048,3,3,Design and Analysis of Algorithm,50,Machine Learning,47,UI/UX,77,174,B,5.91
REC000192,STU00048,4,4,Data Warehousing and Data Mining,74,Data Science,88,Computer Architecture,59,221,A,8.09
REC000193,STU00049,1,1,Maths,90,Physics,54,Chemistry,76,220,A,8.02
REC000194,STU00049,2,2,Data Structures and Algorithms,86,Probability and Statistics,78,Java,50,214,A,7.87
REC000195,STU00049,3,3,Design and Analysis of Algorithm,72,Machine Learning,50,UI/UX,96,218,A,7.99
REC000196,STU00049,4,4,Data Warehousing and Data Mining,54,Data Science,53,Computer Architecture,88,195,B+,7.24
REC000197,STU00050,1,1,Maths,98,Physics,60,Chemistry,78,236,A,7.96
REC000198,STU00050,2,2,Data Structures and Algorithms,81,Probability and Statistics,48,Java,80,209,C,4.75
REC000199,STU00050,3,3,Design and Analysis of Algorithm,47,Machine Learning,77,UI/UX,51,175,B,6.01
REC000200,STU00050,4,4,Data Warehousing and Data Mining,71,Data Science,51,Computer Architecture,74,196,B+,7.1
REC000201,STU00051,1,1,Maths,81,Physics,97,Chemistry,61,239,C,4.91
REC000202,STU00051,2,2,Data Structures and Algorithms,82,Probability and Statistics,50,Java,94,226,A,8
REC000203,STU00051,3,3,Design and Analysis of Algorithm,52,Machine Learning,92,UI/UX,87,231,A,7.98
REC000204,STU00051,4,4,Data Warehousing and Data Mining,95,Data Science,56,Computer Architecture,98,249,A+,8.94
REC000205,STU00052,1,1,Maths,50,Physics,71,Chemistry,90,211,A,7.88
REC000206,STU00052,2,2,Data Structures and Algorithms,82,Probability and Statistics,91,Java,74,247,A+,9.15
REC000207,STU00052,3,3,Design and Analysis of Algorithm,73,Machine Learning,84,UI/UX,96,253,A+,8.86
REC000208,STU00052,4,4,Data Warehousing and Data Mining,100,Data Science,96,Computer Architecture,56,252,A+,8.83
REC000209,STU00053,1,1,Maths,50,Physics,92,Chemistry,83,225,A,7.86
REC000210,STU00053,2,2,Data Structures and Algorithms,88,Probability and Statistics,51,Java,72,211,A,8.02
REC000211,STU00053,3,3,Design and Analysis of Algorithm,45,Machine Learning,70,UI/UX,52,167,B,5.71
REC000212,STU00053,4,4,Data Warehousing and Data Mining,86,Data Science,75,Computer Architecture,74,235,A,8.12
REC000213,STU00054,1,1,Maths,100,Physics,87,Chemistry,92,279,O,10
REC000214,STU00054,2,2,Data Structures and Algorithms,76,Probability and Statistics,64,Java,84,224,A,8.19
REC000215,STU00054,3,3,Design and Analysis of Algorithm,84,Machine Learning,68,UI/UX,89,241,A+,9.1
REC000216,STU00054,4,4,Data Warehousing and Data Mining,89,Data Science,88,Computer Architecture,70,247,A+,9.18
REC000217,STU00055,1,1,Maths,50,Physics,53,Chemistry,53,156,B,5.71
REC000218,STU00055,2,2,Data Structures and Algorithms,52,Probability and Statistics,97,Java,46,195,B+,7.12
REC000219,STU00055,3,3,Design and Analysis of Algorithm,57,Machine Learning,99,UI/UX,46,202,B+,6.83
REC000220,STU00055,4,4,Data Warehousing and Data Mining,86,Data Science,54,Computer Architecture,86,226,A,7.85
REC000221,STU00056,1,1,Maths,98,Physics,85,Chemistry,99,282,O,10
REC000222,STU00056,2,2,Data Structures and Algorithms,57,Probability and Statistics,50,Java,64,171,B,6.16
REC000223,STU00056,3,3,Design and Analysis of Algorithm,54,Machine Learning,75,UI/UX,72,201,B+,6.71
REC000224,STU00056,4,4,Data Warehousing and Data Mining,55,Data Science,54,Computer Architecture,92,201,B+,7.12
REC000225,STU00057,1,1,Maths,76,Physics,75,Chemistry,46,197,B+,7.22
REC000226,STU00057,2,2,Data Structures and Algorithms,82,Probability and Statistics,60,Java,57,199,B+,6.88
REC000227,STU00057,3,3,Design and Analysis of Algorithm,98,Machine Learning,98,UI/UX,70,266,A+,8.73
REC000228,STU00057,4,4,Data Warehousing and Data Mining,45,Data Science,51,Computer Architecture,85,181,B+,7.21
REC000229,STU00058,1,1,Maths,72,Physics,71,Chemistry,99,242,A+,9
REC000230,STU00058,2,2,Data Structures and Algorithms,82,Probability and Statistics,83,Java,91,256,A+,9.03
REC000231,STU00058,3,3,Design and Analysis of Algorithm,63,Machine Learning,47,UI/UX,76,186,B+,6.94
REC000232,STU00058,4,4,Data Warehousing and Data Mining,77,Data Science,82,Computer Architecture,91,250,A+,9.07
REC000233,STU00059,1,1,Maths,88,Physics,97,Chemistry,100,285,O,9.99
REC000234,STU00059,2,2,Data Structures and Algorithms,90,Probability and Statistics,48,Java,78,216,A,7.71
REC000235,STU00059,3,3,Design and Analysis of Algorithm,81,Machine Learning,65,UI/UX,80,226,A,7.74
REC000236,STU00059,4,4,Data Warehousing and Data Mining,86,Data Science,71,Computer Architecture,75,232,A,7.77
REC000237,STU00060,1,1,Maths,84,Physics,86,Chemistry,67,237,A,7.97
REC000238,STU00060,2,2,Data Structures and Algorithms,72,Probability and Statistics,46,Java,55,173,B,5.87
REC000239,STU00060,3,3,Design and Analysis of Algorithm,57,Machine Learning,75,UI/UX,67,199,B+,6.96
REC000240,STU00060,4,4,Data Warehousing and Data Mining,77,Data Science,59,Computer Architecture,82,218,A,8.25
REC000241,STU00061,1,1,Maths,66,Physics,83,Chemistry,99,248,A+,9.21
REC000242,STU00061,2,2,Data Structures and Algorithms,87,Probability and Statistics,74,Java,53,214,A,8.23
REC000243,STU00061,3,3,Design and Analysis of Algorithm,91,Machine Learning,90,UI/UX,69,250,A+,9.28
REC000244,STU00061,4,4,Data Warehousing and Data Mining,98,Data Science,88,Computer Architecture,86,272,O,10
REC000245,STU00062,1,1,Maths,95,Physics,75,Chemistry,96,266,A+,9.28
REC000246,STU00062,2,2,Data Structures and Algorithms,55,Probability and Statistics,84,Java,58,197,B+,6.87
REC000247,STU00062,3,3,Design and Analysis of Algorithm,92,Machine Learning,50,UI/UX,87,229,A,7.99
REC000248,STU00062,4,4,Data Warehousing and Data Mining,56,Data Science,57,Computer Architecture,55,168,B,6.06
REC000249,STU00063,1,1,Maths,51,Physics,95,Chemistry,71,217,A,8.27
REC000250,STU00063,2,2,Data Structures and Algorithms,76,Probability and Statistics,64,Java,60,200,B+,6.83
REC000251,STU00063,3,3,Design and Analysis of Algorithm,48,Machine Learning,46,UI/UX,67,161,B,6.23
REC000252,STU00063,4,4,Data Warehousing and Data Mining,67,Data Science,88,Computer Architecture,55,210,A,7.8
REC000253,STU00064,1,1,Maths,100,Physics,77,Chemistry,47,224,A,8.18
REC000254,STU00064,2,2,Data Structures and Algorithms,66,Probability and Statistics,72,Java,52,190,B+,7.07
REC000255,STU00064,3,3,Design and Analysis of Algorithm,52,Machine Learning,80,UI/UX,59,191,B+,6.99
REC000256,STU00064,4,4,Data Warehousing and Data Mining,66,Data Science,95,Computer Architecture,67,228,A,8.16
REC000257,STU00065,1,1,Maths,94,Physics,80,Chemistry,62,236,A,8.24
REC000258,STU00065,2,2,Data Structures and Algorithms,99,Probability and Statistics,89,Java,100,288,O,10
REC000259,STU00065,3,3,Design and Analysis of Algorithm,87,Machine Learning,51,UI/UX,90,228,A,7.73
REC000260,STU00065,4,4,Data Warehousing and Data Mining,73,Data Science,96,Computer Architecture,74,243,A+,9.28
REC000261,STU00066,1,1,Maths,93,Physics,52,Chemistry,51,196,B+,7.17
REC000262,STU00066,2,2,Data Structures and Algorithms,84,Probability and Statistics,95,Java,99,278,O,10
REC000263,STU00066,3,3,Design and Analysis of Algorithm,97,Machine Learning,80,UI/UX,47,224,A,8
REC000264,STU00066,4,4,Data Warehousing and Data Mining,55,Data Science,85,Computer Architecture,52,192,B+,7.22
REC000265,STU00067,1,1,Maths,68,Physics,55,Chemistry,91,214,A,7.88
REC000266,STU00067,2,2,Data Structures and Algorithms,73,Probability and Statistics,93,Java,77,243,A+,9
REC000267,STU00067,3,3,Design and Analysis of Algorithm,100,Machine Learning,51,UI/UX,54,205,B+,7.09
REC000268,STU00067,4,4,Data Warehousing and Data Mining,66,Data Science,97,Computer Architecture,53,216,A,7.77
REC000269,STU00068,1,1,Maths,57,Physics,73,Chemistry,71,201,B+,7.16
